percentiles,hv10,hv20,hv30,hv60,phv10,phv20,phv30,phv60
0,0.0412,0.0438,0.0477,0.0786,0.0498,0.0512,0.0583,0.0964
1,0.0464,0.0542,0.0633,0.1131,0.0765,0.0812,0.0878,0.1113
2,0.0645,0.0779,0.0984,0.1365,0.0871,0.0997,0.1102,0.1291
3,0.0882,0.1132,0.1529,0.1751,0.1092,0.1263,0.1282,0.1414
4,0.1142,0.1617,0.1824,0.1872,0.1325,0.1409,0.1591,0.1507
5,0.1299,0.1847,0.2086,0.2693,0.1485,0.1841,0.1732,0.1573
6,0.1457,0.1998,0.2284,0.2797,0.1953,0.2319,0.2085,0.1981
7,0.1639,0.2114,0.237,0.2863,0.2237,0.247,0.2465,0.3005
8,0.1779,0.2199,0.2457,0.2965,0.2379,0.255,0.2671,0.3089
9,0.1922,0.2277,0.2516,0.3117,0.2477,0.2628,0.2796,0.3154
10,0.202,0.2358,0.2589,0.3187,0.2561,0.2716,0.2936,0.32
11,0.2083,0.2466,0.2645,0.3282,0.2634,0.2793,0.304,0.3231
12,0.2145,0.2532,0.2756,0.334,0.269,0.289,0.3081,0.328
13,0.2213,0.2604,0.2832,0.3375,0.2746,0.2957,0.3119,0.3305
14,0.2289,0.27,0.2963,0.3415,0.2814,0.3002,0.3149,0.3351
15,0.2381,0.2781,0.3091,0.3452,0.2886,0.3069,0.3185,0.3382
16,0.2432,0.284,0.3227,0.3522,0.2924,0.3111,0.3238,0.3408
17,0.2505,0.2888,0.3331,0.359,0.298,0.3162,0.3273,0.3447
18,0.2561,0.2953,0.3394,0.3664,0.3031,0.3196,0.333,0.348
19,0.2595,0.3036,0.3449,0.3733,0.3065,0.3231,0.3363,0.3503
20,0.2653,0.3158,0.351,0.3789,0.3095,0.3267,0.3402,0.353
21,0.2714,0.3247,0.3575,0.3817,0.3137,0.3303,0.3428,0.3567
22,0.277,0.3335,0.3627,0.3863,0.3171,0.3346,0.3466,0.359
23,0.2831,0.3403,0.3679,0.3915,0.3218,0.3401,0.3493,0.3609
24,0.2883,0.3459,0.3721,0.3981,0.3276,0.3453,0.3543,0.3634
25,0.2924,0.3537,0.3773,0.4041,0.3314,0.3508,0.3579,0.3663
26,0.2996,0.3608,0.3806,0.4106,0.3352,0.3577,0.3618,0.3704
27,0.3072,0.3667,0.3846,0.4146,0.3397,0.3624,0.368,0.3748
28,0.3123,0.3695,0.3886,0.4171,0.3432,0.3674,0.3706,0.3785
29,0.3195,0.3751,0.3931,0.4215,0.3461,0.3707,0.3751,0.3856
30,0.3272,0.3791,0.3964,0.4272,0.349,0.3732,0.3779,0.3902
31,0.3336,0.3827,0.399,0.4328,0.3541,0.3764,0.383,0.3931
32,0.3429,0.3868,0.4044,0.4375,0.3576,0.3788,0.3874,0.3965
33,0.3483,0.3898,0.4108,0.4396,0.3622,0.3819,0.3906,0.4008
34,0.3538,0.3947,0.4161,0.4429,0.3661,0.3852,0.3937,0.4037
35,0.3581,0.4045,0.4215,0.4473,0.3709,0.3883,0.3977,0.41
36,0.3608,0.4081,0.4261,0.4518,0.375,0.3924,0.4017,0.4141
37,0.3664,0.4139,0.434,0.4559,0.3783,0.3978,0.4046,0.4181
38,0.3709,0.4197,0.4489,0.4598,0.3814,0.4001,0.4074,0.4211
39,0.3752,0.4245,0.4554,0.4628,0.3854,0.4051,0.4104,0.4242
40,0.3847,0.4295,0.4588,0.4669,0.3899,0.4088,0.4143,0.4292
41,0.3926,0.4353,0.4629,0.4706,0.3932,0.4124,0.4179,0.4339
42,0.4,0.4412,0.47,0.4754,0.3956,0.4168,0.4211,0.4369
43,0.4045,0.4492,0.4755,0.4809,0.3994,0.4207,0.4247,0.4399
44,0.4087,0.4568,0.4805,0.4828,0.4025,0.4229,0.4304,0.444
45,0.4147,0.4608,0.4859,0.4874,0.406,0.426,0.4369,0.447
46,0.4217,0.4662,0.4898,0.4972,0.4117,0.4289,0.4413,0.4505
47,0.4283,0.4696,0.4942,0.5007,0.4157,0.4329,0.4439,0.4538
48,0.4347,0.477,0.4984,0.5047,0.4192,0.4373,0.4495,0.4559
49,0.4419,0.4828,0.503,0.5115,0.4238,0.4394,0.4531,0.4598
50,0.4469,0.4883,0.5069,0.5198,0.4282,0.4428,0.4562,0.4634
51,0.4522,0.4945,0.5119,0.5229,0.433,0.4479,0.4598,0.4666
52,0.4575,0.5025,0.518,0.5273,0.4368,0.4534,0.4625,0.4698
53,0.4645,0.5073,0.5217,0.5308,0.4404,0.4575,0.4669,0.4728
54,0.4697,0.5139,0.5254,0.535,0.4444,0.461,0.469,0.4761
55,0.4752,0.5196,0.5309,0.54,0.4486,0.4647,0.4751,0.4802
56,0.4811000000000002,0.5288,0.5344000000000002,0.5451000000000001,0.4538,0.4677,0.4788,0.4851
57,0.488,0.534,0.5392,0.5499,0.4594,0.472,0.4834,0.4878
58,0.4939,0.541,0.543,0.5543,0.4646,0.4761,0.4867,0.4905
59,0.4992,0.5451,0.5483,0.5603,0.4712,0.4825,0.4922,0.492
60,0.5076,0.5522,0.5561,0.5678,0.4759,0.487,0.4962,0.4954
61,0.5151,0.56,0.5625,0.5718,0.4805,0.4925,0.5001,0.5018
62,0.5244,0.5645,0.5674,0.5782,0.4843,0.4964,0.5034,0.5073
63,0.5323,0.5705,0.5725,0.5835,0.4896,0.5011,0.508,0.5116
64,0.5392,0.5784,0.5764,0.5883,0.4932,0.5059,0.5109,0.5169
65,0.5473,0.5831,0.5816,0.5965,0.4982,0.5123,0.5138,0.5199
66,0.556,0.5867,0.5857,0.6017,0.5018,0.5192,0.5183,0.5229
67,0.5692,0.5923,0.5899,0.612,0.5075,0.5245,0.5214,0.528
68,0.575,0.6016,0.5957,0.6186,0.5151,0.5286,0.526,0.5347
69,0.5872,0.6086,0.6019,0.6261,0.522,0.5332,0.5303,0.5416
70,0.5968,0.6159,0.6095,0.6361,0.5269,0.5396,0.5343,0.5495
71,0.6068,0.6231,0.614,0.6445,0.5332,0.5446,0.5391,0.5562
72,0.6133,0.6271,0.6219,0.6564,0.5409,0.5519,0.5431,0.5609
73,0.6241,0.6316,0.6317,0.6683,0.5456,0.556,0.5496,0.5637
74,0.6375,0.6366,0.6375,0.676,0.5512,0.5589,0.5553,0.5686
75,0.6496,0.6422,0.6449,0.6868,0.5599,0.564,0.5601,0.5738
76,0.6583,0.6497,0.6506,0.694,0.571,0.5676,0.5668,0.5777
77,0.6688,0.6573,0.6609,0.7049,0.577,0.5729,0.5743,0.5817
78,0.6787,0.6661,0.6711,0.7158,0.5884,0.5774,0.5859,0.5859
79,0.6903,0.6756,0.6835,0.7282,0.597,0.5829,0.5939,0.5885
80,0.701,0.6836,0.6922,0.7404,0.6077,0.5874,0.5995,0.5922
81,0.7099,0.6897,0.7036,0.7456,0.6144,0.5959,0.6058,0.5946
82,0.7218,0.7019,0.717,0.7566,0.6258,0.6037,0.6114,0.5983
83,0.7389,0.7135,0.7273,0.7616,0.6342,0.6116,0.6198,0.6051
84,0.7484,0.7241,0.734,0.7719,0.6447,0.6303,0.6245,0.6106
85,0.7593,0.7407,0.7401,0.7817,0.6535,0.6396,0.6298,0.6215
86,0.7785,0.7592,0.7571,0.7994,0.6693,0.6487,0.6358,0.6403
87,0.7887,0.7857,0.7984,0.8173,0.6799,0.6589,0.6431,0.6993
88,0.8033,0.808,0.8224,0.8442,0.6978,0.6672,0.6491,0.7109
89,0.8197,0.8286,0.848,0.856,0.7149,0.6767,0.669,0.7187
90,0.8501,0.8567,0.8753,0.8714,0.7267,0.7016,0.6867,0.7327
91,0.8711,0.8857,0.9123,0.8907,0.7429,0.7225,0.7362,0.7568
92,0.901,0.9504,0.9583,0.9176,0.759,0.7469,0.7937,0.7774
93,0.9555,0.983,0.9945,0.9622,0.7756,0.7991,0.8322,0.7884
94,1.0332,1.0492,1.055,1.0054,0.8155,0.8402,0.8736,0.804
95,1.1902,1.1385,1.1406,1.0268,0.8487,0.9189,0.8942,0.8314
96,1.2642,1.2687,1.1652,1.0365,0.9265,0.9741,0.9286,0.9114
97,1.481,1.3939,1.271,1.0563,1.053,1.0435,0.969,0.9382
98,1.7586,1.4579,1.3456,1.1223,1.3061,1.1135,1.0858,0.9996
